night;group_night;IdLabel;IdRFID;weight;sex;group;discard;cond
16;6;Ind34;0416ECCD85;10.72;f;6f;0;test
16;6;Ind35;0416ECEEE3;10.02;f;6f;0;test
16;6;Ind36;041768F43E;11.01;f;6f;0;test
17;7;Ind31;0416ECE46E;10.09;f;6f;0;test
17;7;Ind32;0417691E63;9.41;f;6f;0;test
17;7;Ind33;041768F274;10.28;f;6f;0;test
17;7;Ind34;0416ECCD85;10.72;f;6f;0;test
17;7;Ind35;0416ECEEE3;10.02;f;6f;0;test
17;7;Ind36;041768F43E;11.01;f;6f;0;test
18;-1;Ind25;041769306F;9.87;m;6m;0;train
18;-1;Ind26;0417691E63;9.85;m;6m;0;train
18;-1;Ind27;041768FE8A;9.02;m;6m;0;train
18;-1;Ind28;0416ECE46E;9.72;m;6m;0;train
18;-1;Ind29;041769264B;10;m;6m;0;train
18;-1;Ind30;041768F43E;8.75;m;6m;0;train
19;0;Ind25;041769306F;9.87;m;6m;0;train
19;0;Ind26;0417691E63;9.85;m;6m;0;train
19;0;Ind27;041768FE8A;9.02;m;6m;0;train
19;0;Ind28;0416ECE46E;9.72;m;6m;0;train
19;0;Ind29;041769264B;10;m;6m;0;train
19;0;Ind30;041768F43E;8.75;m;6m;0;train
20;1;Ind25;041769306F;9.87;m;6m;0;test
20;1;Ind26;0417691E63;9.85;m;6m;0;test
20;1;Ind27;041768FE8A;9.02;m;6m;0;test
20;1;Ind28;0416ECE46E;9.72;m;6m;0;test
20;1;Ind29;041769264B;10;m;6m;0;test
20;1;Ind30;041768F43E;8.75;m;6m;0;test
21;2;Ind25;041769306F;9.87;m;6m;0;test
21;2;Ind26;041768F274;9.85;m;6m;0;test
21;2;Ind27;041768FE8A;9.02;m;6m;0;test
21;2;Ind28;0416ECE46E;9.72;m;6m;0;test
21;2;Ind29;041769264B;10;m;6m;0;test
21;2;Ind30;041768F43E;8.75;m;6m;0;test
22;3;Ind25;041769306F;9.87;m;6m;0;test
22;3;Ind26;041768F274;9.85;m;6m;0;test
22;3;Ind27;041768FE8A;9.02;m;6m;0;test
22;3;Ind28;0416ECE46E;9.72;m;6m;0;test
22;3;Ind29;041769264B;10;m;6m;0;test
22;3;Ind30;041768F43E;8.75;m;6m;0;test
23;4;Ind25;041769306F;9.87;m;6m;0;test
23;4;Ind26;041768F274;9.85;m;6m;0;test
23;4;Ind27;041768FE8A;9.02;m;6m;0;test
23;4;Ind28;0416ECE46E;9.72;m;6m;0;test
23;4;Ind29;041769264B;10;m;6m;0;test
23;4;Ind30;041768F43E;8.75;m;6m;0;test
24;5;Ind25;041769306F;9.87;m;6m;0;test
24;5;Ind26;041768F274;9.85;m;6m;0;test
24;5;Ind27;041768FE8A;9.02;m;6m;0;test
24;5;Ind28;0416ECE46E;9.72;m;6m;0;test
24;5;Ind29;041769264B;10;m;6m;0;test
24;5;Ind30;041768F43E;8.75;m;6m;0;test
25;6;Ind25;041769306F;9.87;m;6m;0;test
25;6;Ind26;041768F274;9.85;m;6m;0;test
25;6;Ind27;041768FE8A;9.02;m;6m;0;test
25;6;Ind28;0416ECE46E;9.72;m;6m;0;test
25;6;Ind29;041769264B;10;m;6m;0;test
25;6;Ind30;041768F43E;8.75;m;6m;0;test
26;7;Ind25;041769306F;9.87;m;6m;0;test
26;7;Ind26;041768F274;9.85;m;6m;0;test
26;7;Ind27;041768FE8A;9.02;m;6m;0;test
26;7;Ind28;0416ECE46E;9.72;m;6m;0;test
26;7;Ind29;041769264B;10;m;6m;0;test
26;7;Ind30;041768F43E;8.75;m;6m;0;test
27;8;Ind25;041769306F;9.87;m;6m;0;test
27;8;Ind26;041768F274;9.85;m;6m;0;test
27;8;Ind27;041768FE8A;9.02;m;6m;0;test
27;8;Ind28;0416ECE46E;9.72;m;6m;0;test
27;8;Ind29;041769264B;10;m;6m;0;test
27;8;Ind30;041768F43E;8.75;m;6m;0;test
28;-1;Ind7;04185CDFBF;9.12;m;mixed2;0;train
28;-1;Ind8;04185CE762;9.85;m;mixed2;0;train
28;-1;Ind9;04185D008F;10.24;m;mixed2;0;train
28;-1;Ind10;04185D12B9;9.69;f;mixed2;0;train
28;-1;Ind11;04185D1858;9.64;f;mixed2;0;train
28;-1;Ind12;04185D1DE6;9.88;f;mixed2;0;train
29;0;Ind7;04185CDFBF;9.12;m;mixed2;0;train
29;0;Ind8;04185CE762;9.85;m;mixed2;0;train
29;0;Ind9;04185D008F;10.24;m;mixed2;0;train
29;0;Ind10;04185D12B9;9.69;f;mixed2;0;train
29;0;Ind11;04185D1858;9.64;f;mixed2;0;train
29;0;Ind12;04185D1DE6;9.88;f;mixed2;0;train
30;1;Ind7;04185CDFBF;9.12;m;mixed2;0;test
30;1;Ind8;04185CE762;9.85;m;mixed2;0;test
30;1;Ind9;04185D008F;10.24;m;mixed2;0;test
30;1;Ind10;04185D12B9;9.69;f;mixed2;0;test
